date,appid,name,discount_percent,rating_percent,price,steam_store_url
2025-12-07,1361210,"Warhammer 40,000: Darktide",75.0,70.56,9.99,https://store.steampowered.com/app/1361210/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1162750,Songs of Syx,25.0,92.44,18.74,https://store.steampowered.com/app/1162750/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1903340,Clair Obscur: Expedition 33,20.0,95.38,39.99,https://store.steampowered.com/app/1903340/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,594570,Total War: WARHAMMER II,75.0,91.05,14.99,https://store.steampowered.com/app/594570/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1091500,Cyberpunk 2077,65.0,84.76,20.99,https://store.steampowered.com/app/1091500/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,275850,No Man's Sky,60.0,83.76,23.99,https://store.steampowered.com/app/275850/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,548430,Deep Rock Galactic,70.0,96.26,8.99,https://store.steampowered.com/app/548430/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,292030,The Witcher 3: Wild Hunt,90.0,95.39,3.99,https://store.steampowered.com/app/292030/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1623730,Palworld,25.0,93.28,22.49,https://store.steampowered.com/app/1623730/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,990080,Hogwarts Legacy,85.0,89.21,8.99,https://store.steampowered.com/app/990080/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,261550,Mount & Blade II: Bannerlord,50.0,87.04,24.99,https://store.steampowered.com/app/261550/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,779340,Total War: THREE KINGDOMS,80.0,71.67,11.99,https://store.steampowered.com/app/779340/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,646570,Slay the Spire,75.0,96.54,6.24,https://store.steampowered.com/app/646570/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,526870,Satisfactory,30.0,96.11,27.99,https://store.steampowered.com/app/526870/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,739630,Phasmophobia,30.0,94.93,13.99,https://store.steampowered.com/app/739630/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1313140,Cult of the Lamb,50.0,94.33,12.49,https://store.steampowered.com/app/1313140/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,3405340,Megabonk,20.0,94.04,7.99,https://store.steampowered.com/app/3405340/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2124490,SILENT HILL 2,50.0,93.35,34.99,https://store.steampowered.com/app/2124490/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,686810,Hell Let Loose,75.0,81.04,12.49,https://store.steampowered.com/app/686810/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,3240220,Grand Theft Auto V Enhanced,56.0,77.39,19.79,https://store.steampowered.com/app/3240220/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1142710,Total War: WARHAMMER III,75.0,68.49,14.99,https://store.steampowered.com/app/1142710/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,227300,Euro Truck Simulator 2,75.0,96.58,4.99,https://store.steampowered.com/app/227300/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,270880,American Truck Simulator,75.0,95.66,4.99,https://store.steampowered.com/app/270880/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,281990,Stellaris,75.0,84.68,9.99,https://store.steampowered.com/app/281990/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,8870,BioShock Infinite,75.0,92.29,7.49,https://store.steampowered.com/app/8870/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1943950,Escape the Backrooms,20.0,89.61,7.99,https://store.steampowered.com/app/1943950/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,728880,Overcooked! 2,75.0,89.18,6.24,https://store.steampowered.com/app/728880/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,208650,Batman™: Arkham Knight,80.0,88.05,3.99,https://store.steampowered.com/app/208650/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1604030,V Rising,50.0,87.83,17.49,https://store.steampowered.com/app/1604030/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,552500,Warhammer: Vermintide 2,95.0,84.06,1.49,https://store.steampowered.com/app/552500/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2417610,METAL GEAR SOLID Δ: SNAKE EATER,30.0,83.29,48.99,https://store.steampowered.com/app/2417610/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,552520,Far Cry® 5,85.0,80.13,8.99,https://store.steampowered.com/app/552520/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2947440,SILENT HILL f,20.0,79.54,55.99,https://store.steampowered.com/app/2947440/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,460930,Tom Clancy's Ghost Recon® Wildlands,85.0,78.86,7.49,https://store.steampowered.com/app/460930/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,304390,FOR HONOR™,85.0,68.86,4.49,https://store.steampowered.com/app/304390/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1942280,Brotato,40.0,95.18,2.99,https://store.steampowered.com/app/1942280/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2486820,Sonic Racing: CrossWorlds,30.0,92.42,48.99,https://store.steampowered.com/app/2486820/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1217060,Gunfire Reborn,30.0,91.93,13.99,https://store.steampowered.com/app/1217060/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,107410,Arma 3,75.0,89.46,7.49,https://store.steampowered.com/app/107410/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1129580,Medieval Dynasty,50.0,89.11,17.49,https://store.steampowered.com/app/1129580/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,356190,Middle-earth™: Shadow of War™,90.0,87.6,4.99,https://store.steampowered.com/app/356190/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,244850,Space Engineers,50.0,87.43,9.99,https://store.steampowered.com/app/244850/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,976310,Mortal Kombat 11,90.0,86.85,4.99,https://store.steampowered.com/app/976310/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2300320,Farming Simulator 25,20.0,84.07,23.99,https://store.steampowered.com/app/2300320/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,214950,Total War: ROME II - Emperor Edition,80.0,82.61,11.99,https://store.steampowered.com/app/214950/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1812450,Bellwright,34.0,79.37,19.79,https://store.steampowered.com/app/1812450/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,364360,Total War: WARHAMMER,75.0,76.93,14.99,https://store.steampowered.com/app/364360/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,508440,Totally Accurate Battle Simulator,66.0,96.48,6.79,https://store.steampowered.com/app/508440/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1562430,DREDGE,60.0,93.96,9.99,https://store.steampowered.com/app/1562430/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2881650,Content Warning,30.0,93.13,5.59,https://store.steampowered.com/app/2881650/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2185060,Two Point Museum,20.0,92.74,23.99,https://store.steampowered.com/app/2185060/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2161700,Persona 3 Reload,55.0,92.57,26.99,https://store.steampowered.com/app/2161700/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1621690,Core Keeper,40.0,91.37,11.99,https://store.steampowered.com/app/1621690/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,262060,Darkest Dungeon®,85.0,90.56,3.74,https://store.steampowered.com/app/262060/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1569580,Blue Prince,34.0,85.39,19.79,https://store.steampowered.com/app/1569580/?curator_clanid=4777282&utm_source=SteamDB
